job_id,arrival_time,duration,gpu_milli,num_gpus
636,10606214.00,878.00,1000,1
637,10606251.00,2909.00,1000,1
638,10606253.00,687.00,1000,1
639,10606258.00,1493.00,1000,1
640,10606419.00,2953.00,1000,1
641,10607608.00,104.00,1000,1
642,10607623.00,808.00,650,1
643,10608064.00,930.00,1000,1
644,10608731.00,23299.00,320,1
645,10608824.00,246.00,650,1
646,10608911.00,243.00,650,1
647,10609680.00,2132.00,1000,1
648,10610689.00,2042.00,1000,1
649,10610690.00,1744.00,1000,1
650,10610840.00,1424.00,1000,1
651,10610930.00,58.00,320,1
652,10611007.00,5628.00,320,1
653,10611842.00,3986.00,1000,1
654,10613212.00,598.00,230,1
655,10613388.00,175.00,470,1
656,10613616.00,253.00,1000,1
657,10613645.00,164.00,230,1
658,10614075.00,4024.00,1000,1
659,10614151.00,258.00,1000,1
660,10616771.00,4974.00,370,1
661,10617324.00,350.00,230,1
662,10617651.00,463.00,1000,1
663,10617680.00,195.00,230,1
664,10617694.00,202.00,230,1
665,10617708.00,4554.00,220,1
666,10618001.00,775.00,230,1
667,10619379.00,1382.00,1000,1
668,10619480.00,1315.00,650,1
669,10619523.00,3117.00,1000,1
670,10619649.00,300.00,470,1
671,10620914.00,2344.00,1000,1
672,10620936.00,1081.00,1000,1
673,10620997.00,2281963.00,1000,1
674,10621079.00,86.00,320,1
675,10621473.00,540.00,460,1
676,10621540.00,2221.00,1000,1
677,10622339.00,11601.00,1000,1
678,10622843.00,51.00,320,1
679,10623164.00,1051.00,320,1
680,10623875.00,1689.00,1000,1
681,10624068.00,3465.00,1000,1
682,10625608.00,6872.00,1000,1
683,10626024.00,91.00,320,1
684,10626422.00,1862.00,1000,1
685,10626535.00,208.00,320,1
686,10626709.00,6765.00,1000,1
687,10626940.00,1622.00,1000,1
688,10627477.00,12501.00,1000,1
689,10628219.00,1541.00,470,1
690,10628579.00,3611.00,1000,1
691,10629105.00,1257.00,1000,1
692,10629108.00,4006.00,1000,1
693,10629645.00,71.00,320,1
694,10633142.00,1205.00,1000,1
695,10633547.00,2163.00,1000,1
696,10634435.00,13220.00,1000,1
697,10634499.00,1862.00,1000,1
698,10634588.00,5486.00,220,1
699,10635708.00,10228.00,220,1
700,10636821.00,4248.00,320,1
701,10636834.00,427.00,320,1
702,10637407.00,298.00,1000,1
703,10638109.00,54.00,470,1
704,10638114.00,493.00,470,1
705,10638115.00,489.00,230,1
706,10638652.00,157.00,470,1
707,10638744.00,217.00,230,1
708,10638906.00,3293.00,470,1
709,10639998.00,795.00,320,1
710,10641008.00,25700.00,220,1
711,10641174.00,167.00,470,1
712,10641229.00,101.00,470,1
713,10642124.00,1317.00,320,1
714,10642400.00,195.00,230,1
715,10643160.00,284.00,320,1
716,10643384.00,144.00,230,1
717,10643478.00,188.00,230,1
718,10643478.00,188.00,230,1
719,10643599.00,67.00,230,1
720,10644275.00,465.00,320,1
721,10644279.00,7582.00,1000,1
722,10645428.00,214.00,320,1
723,10646016.00,2260.00,1000,1
724,10646562.00,2997.00,1000,1
725,10646569.00,210.00,470,1
726,10646759.00,26116.00,320,1
727,10647070.00,2980.00,230,1
728,10647871.00,4388.00,320,1
729,10648890.00,2235.00,1000,1
730,10648940.00,10618.00,1000,1
731,10649133.00,2859.00,230,1
732,10649150.00,1792.00,1000,1
733,10650038.00,4260.00,1000,1
734,10651499.00,1918.00,1000,1
735,10652054.00,242.00,230,1
736,10653290.00,22297.00,810,1
737,10653875.00,2039.00,1000,1
738,10655122.00,255.00,1000,1
739,10656453.00,540.00,1000,1
740,10657876.00,27409.00,320,1
741,10657877.00,27411.00,320,1
742,10657877.00,2732.00,320,1
743,10658378.00,418.00,470,1
744,10661315.00,2100.00,1000,1
745,10661745.00,26313.00,160,1
746,10663820.00,2752.00,1000,1
747,10667135.00,5039.00,1000,1
748,10667435.00,4680.00,1000,1
749,10667495.00,4620.00,1000,1
750,10670719.00,2808.00,1000,1
751,10671173.00,3613.00,1000,1
752,10672357.00,839.00,1000,1
753,10674417.00,2116.00,1000,1
754,10676175.00,3096.00,1000,1
755,10676483.00,3415.00,1000,1
756,10679807.00,2156.00,1000,1
757,10680336.00,11279.00,1000,1
758,10683715.00,6440.00,320,1
759,10687893.00,1440.00,1000,1
760,10689757.00,312.00,470,1
761,10689994.00,2872.00,470,1
762,10690004.00,109.00,320,1
763,10692471.00,1881.00,1000,1
764,10693137.00,1014.00,470,1
765,10693843.00,30231.00,1000,1
766,10694113.00,744.00,350,1
767,10695393.00,2170.00,1000,1
768,10695666.00,2155.00,1000,1
769,10695900.00,99.00,1000,1
770,10695939.00,187.00,320,1
771,10696159.00,379.00,320,1
772,10697207.00,238.00,320,1
773,10697495.00,4141.00,1000,1
774,10697677.00,1085.00,1000,1
775,10701674.00,2521.00,1000,1
776,10702087.00,2423.00,1000,1
777,10702237.00,27358.00,1000,1
778,10702950.00,2166.00,1000,1
779,10703308.00,2201.00,1000,1
780,10703820.00,413.00,1000,1
781,10704395.00,130.00,1000,1
782,10704404.00,117.00,1000,1
783,10705216.00,360.00,1000,1
784,10705282.00,94.00,1000,1
785,10705525.00,165.00,1000,1
786,10705525.00,164.00,1000,1
787,10707394.00,2101.00,1000,1
788,10708418.00,3656.00,1000,1
789,10708596.00,1919.00,1000,1
790,10710068.00,1918.00,1000,1
791,10710115.00,1868.00,1000,1
792,10710154.00,3601.00,1000,1
793,10711209.00,1018.00,160,1
794,10711222.00,1306.00,160,1
795,10711224.00,1303.00,160,1
796,10711265.00,435.00,470,1
797,10711540.00,1026.00,1000,1
798,10711742.00,844.00,1000,1
799,10712000.00,80.00,1000,1
800,10713332.00,601.00,1000,1
801,10713333.00,619.00,1000,1
802,10713339.00,2248.00,1000,1
803,10714998.00,92.00,1000,1
804,10715344.00,11136.00,1000,1
805,10715679.00,1084.00,1000,1
806,10716310.00,1082.00,1000,1
807,10716405.00,79.00,1000,1
808,10717093.00,814.00,1000,1
809,10717116.00,9780.00,1000,1
810,10717116.00,9780.00,1000,1
811,10717273.00,1156.00,1000,1
812,10717569.00,595.00,470,1
813,10717860.00,4073.00,1000,1
814,10717919.00,48.00,1000,1
815,10718145.00,2145.00,1000,1
816,10718152.00,184.00,1000,1
817,10718200.00,195.00,1000,1
818,10719282.00,16086.00,1000,1
819,10719693.00,134.00,470,1
820,10720534.00,28.00,1000,1
821,10721537.00,4202.00,1000,1
822,10722360.00,2376.00,1000,1
823,10723894.00,840.00,1000,1
824,10724620.00,3671.00,470,1
825,10724733.00,539.00,1000,1
826,10725805.00,1056.00,320,1
827,10727253.00,1050.00,460,1
828,10727401.00,4569.00,650,1
829,10728374.00,4845.00,1000,1
830,10728607.00,3652.00,470,1
831,10728617.00,462.00,1000,1
832,10729535.00,104.00,1000,1
833,10729655.00,1687.00,470,1
834,10731648.00,2034.00,1000,1
835,10731652.00,12315.00,1000,1
836,10732440.00,288.00,470,1
837,10732939.00,2789.00,1000,1
838,10732982.00,1467.00,1000,1
839,10733057.00,978.00,460,1
840,10735391.00,120.00,230,1
841,10737323.00,1281.00,1000,1
842,10737990.00,1565.00,1000,1
843,10738644.00,605.00,1000,1
844,10741957.00,5234.00,1000,1
845,10744103.00,242.00,320,1
846,10744560.00,7700.00,1000,1
847,10745373.00,540.00,1000,1
848,10748277.00,19031.00,110,1
