figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig10,ours,baseline,max_min_fairness,0.6,2,False,1000,23.301781344706214,1.343590549045139,6.126530490451389,19.116502821180557,69.282875,228.21680885416666,271.5769455208341,280.0591145833333
fig10,ours,baseline,max_min_fairness,0.6,all,False,3000,23.555080608204033,1.3375735270182292,6.073998752170139,19.252102864583332,71.4746948784722,223.199047222222,271.57034074652813,358.60006944444444
fig10,ours,baseline,max_min_fairness,0.8,0,False,1000,24.77718873352051,1.335471204969618,6.255618489583333,19.654435763888888,78.265006076389,234.28328020833334,277.0576664930627,356.51961805555555
fig10,ours,baseline,max_min_fairness,0.8,1,False,1000,22.800590338507753,1.3177199842664933,6.038256835937499,19.14053982204861,69.07946831597225,221.17836701388887,261.94882598958424,271.8066145833333
fig10,ours,baseline,max_min_fairness,0.8,2,False,1000,23.407049581400557,1.3284201931423611,6.196955837673611,18.939288736979165,69.17797265625002,227.51787864583332,273.1120398090285,280.6824652777778
fig10,ours,baseline,max_min_fairness,0.8,all,False,3000,23.66160955114294,1.3285076226128472,6.189176161024305,19.211732855902778,72.12730512152768,223.85203420138802,273.1083354687508,356.51961805555555
fig10,ours,baseline,max_min_fairness,1.0,0,False,1000,24.854109856770833,1.4069648708767362,6.316929524739583,20.067669813368056,80.06814670138898,234.03684045138888,281.1197730034794,360.7262847222222
fig10,ours,baseline,max_min_fairness,1.0,1,False,1000,23.065290332065157,1.362988037109375,6.086980794270833,19.453753797743055,68.32822439236115,223.08098541666664,267.9531383506952,276.29147569444444
fig10,ours,baseline,max_min_fairness,1.0,2,False,1000,23.53764936296251,1.3517170952690973,6.256150716145833,19.108401692708334,68.67926736111114,231.66958125000002,275.0389122048613,277.2648611111111
fig10,ours,baseline,max_min_fairness,1.0,all,False,3000,23.819016517266167,1.3643342692057292,6.1969420030381945,19.498178168402777,72.03739453124997,227.63497621527745,276.2924490798613,360.7262847222222
fig10,ours,baseline,max_min_fairness,1.2,0,False,1000,24.838685041707354,1.3606948920355904,6.254575737847222,19.686248914930555,78.96160850694453,235.09255156249998,281.80026482639573,357.57951388888887
fig10,ours,baseline,max_min_fairness,1.2,1,False,1000,22.861457701178654,1.3564415825737848,6.017656521267361,19.563011610243056,69.88400434027778,223.27319149305555,265.37548944444507,272.4897569444444
fig10,ours,baseline,max_min_fairness,1.2,2,False,1000,23.46323369364421,1.3371446126302082,6.327130262586806,18.72146755642361,68.27296657986116,228.49458697916666,271.91964156250003,272.359375
fig10,ours,baseline,max_min_fairness,1.2,all,False,3000,23.72112547884341,1.3513867458767361,6.232533637152778,19.381512586805556,72.27985416666664,224.89286284722218,272.3595053819445,357.57951388888887
fig10,ours,baseline,max_min_fairness,1.4,0,False,1000,24.920291431003147,1.3959153103298612,6.324492730034722,19.78287543402778,79.40094791666675,235.85960399305554,278.38712204861775,352.0673611111111
fig10,ours,baseline,max_min_fairness,1.4,1,False,1000,22.887344585876466,1.3934180772569444,5.857891710069444,19.34424750434028,70.19313281250001,221.25342135416668,261.4186346006952,269.85381944444447
fig10,ours,baseline,max_min_fairness,1.4,2,False,1000,23.437965891859267,1.354084269205729,6.3354104275173615,19.077285698784724,69.17427907986114,226.28292812499996,272.371459010417,276.2397916666667
fig10,ours,baseline,max_min_fairness,1.4,all,False,3000,23.748533969579622,1.3802210964626738,6.159497612847222,19.33447265625,72.46710026041664,223.4197946180553,272.3714590104175,352.0673611111111
fig10,ours,baseline,max_min_fairness,1.6,0,False,1000,25.001739975653756,1.4246875271267363,6.376906467013889,19.917042643229166,78.55999218750009,237.01480086805554,287.83990467014615,367.9942013888889
fig10,ours,baseline,max_min_fairness,1.6,1,False,1000,22.96768841542562,1.3766226535373263,6.04945556640625,19.38349609375,68.01859939236118,219.4339597222222,263.23891149305643,272.80055555555555
fig10,ours,baseline,max_min_fairness,1.6,2,False,1000,23.554265440368653,1.3624793701171873,6.263763020833333,19.025982530381945,67.79155642361115,228.5866034722222,274.0533435416668,274.8960416666667
fig10,ours,baseline,max_min_fairness,1.6,all,False,3000,23.841231277149344,1.3885702175564238,6.227687174479167,19.39123046875,72.08989930555542,223.47486076388856,274.05334354166683,367.9942013888889
fig10,ours,baseline,max_min_fairness,1.8,0,False,1000,25.328175763380262,1.4358067898220486,6.502890625,19.970782335069444,78.20785069444455,235.47053541666665,284.946113906263,429.613125
fig10,ours,baseline,max_min_fairness,1.8,1,False,1000,22.983216767985024,1.3513538004557293,6.101815321180556,19.667958984375,70.36874088541668,220.09482083333333,261.120710625001,271.820625
fig10,ours,baseline,max_min_fairness,1.8,2,False,1000,23.62449709988064,1.394850843641493,6.301048719618056,18.80394802517361,68.70061067708333,232.93541302083332,270.09927776041764,280.5644791666667
fig10,ours,baseline,max_min_fairness,1.8,all,False,3000,23.978629877081975,1.394850843641493,6.255005967881944,19.513011610243055,73.0221536458333,225.06913072916635,271.8293688541685,429.613125
fig10,ours,baseline,max_min_fairness,2.0,0,False,1000,26.656142225646974,1.4400325385199653,6.495732150607639,21.06892849392361,80.0231987847223,256.7132907986111,300.1390149653001,547.8990277777777
fig10,ours,baseline,max_min_fairness,2.0,1,False,1000,23.344380144348143,1.4404080946180555,6.284309624565973,20.0266943359375,71.06488411458335,220.42448420138888,256.5754230381959,272.78085069444444
fig10,ours,baseline,max_min_fairness,2.0,2,False,1000,24.346971488545737,1.413572021484375,6.308165418836806,19.499425455729167,71.0764774305556,239.71729843749998,284.67606312500413,330.485
fig10,ours,baseline,max_min_fairness,2.0,all,False,3000,24.782497952846946,1.4254350585937499,6.3721503363715275,20.080416666666668,73.84637500000001,238.88346996527758,292.8253366319459,547.8990277777777
